objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.167931,1166357379.5532,301225.377394922
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.163361,920017989.862049,335615.350142636
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3197275381.12605,580650.678546735
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.450218,3548934061.31533,1241482.93652255
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.923321,16337569.4228753,116312.050817675
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.328831,3255338123.71719,402006.968203751
52,E06000055,Bedford, ,505721,256463,-0.45463,52.196281,476408299.162406,131721.268581361
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999031,715665302.200088,232692.717694503
54,E06000057,Northumberland, ,395322,600699,-2.07523,55.300369,5030751708.14668,601230.810060587
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,162070065.513308,169172.238128109
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,2490956587.4992,594358.349992191
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.900372,902753224.901715,243091.827325024
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.678902,196348229.805781,87262.6779132497
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.559441,141275609.078621,85473.909915572
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.666199,324572080.488638,113202.002504238
61,E07000008,Cambridge, ,545420,257901,0.126436,52.200169,40698794.9341952,37170.4431684343
62,E07000009,East Cambridgeshire, ,555576,275765,0.283149,52.35788,651286023.597186,234187.982641887
63,E07000010,Fenland, ,536361,294959,0.009016,52.535439,546450057.397399,187882.168085427
64,E07000011,Huntingdonshire, ,521008,274269,-0.2247,52.353149,912455239.15914,223338.133370285
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.108051,901624810.463919,257078.232674124
66,E07000026,Allerdale, ,317520,532997,-3.2809,54.685242,1258291719.61532,326945.356862531
67,E07000027,Barrow-in-Furness, ,321741,474165,-3.1999,54.15731,77897001.8641383,146480.186634289
68,E07000028,Carlisle, ,348576,565154,-2.80498,54.978329,1038300028.9844,278415.522865283
69,E07000029,Copeland, ,310871,508739,-3.37664,54.466171,737631222.408507,252311.68699984
70,E07000030,Eden, ,359636,526396,-2.62678,54.631069,2156474495.37604,268725.444007914
71,E07000031,South Lakeland, ,349265,489555,-2.78108,54.29908,1554923591.81439,381861.979487727
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.028839,265437867.659004,109036.520389842
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.23875,160334649.782959,96239.2025654954
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.255749,66035290.6854303,52617.767250938
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.12326,795318063.283342,245475.846641516
76,E07000036,Erewash, ,443721,338063,-1.3509,52.938202,109630046.234834,73547.5600218746
77,E07000037,High Peak, ,410474,387660,-1.84398,53.385689,540253999.811561,159632.998758136
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.16243,275623524.396742,161243.879502098
79,E07000039,South Derbyshire, ,431443,325363,-1.5348,52.824902,338126970.261127,166693.264756749
80,E07000040,East Devon, ,313790,96050,-3.22359,50.757599,814227311.153453,219544.921202048
81,E07000041,Exeter, ,293239,92005,-3.51368,50.717819,47033052.7920172,50238.5061138321
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.86882,912897719.729192,246408.793542275
83,E07000043,North Devon, ,265110,132532,-3.92691,51.07621,1085857679.30469,308999.636073384
84,E07000044,South Hams, ,270676,54036,-3.81996,50.371948,886510071.674953,478364.826113521
85,E07000045,Teignbridge, ,283144,80205,-3.65289,50.60981,673770656.969215,191464.02785333
86,E07000046,Torridge, ,244206,114334,-4.21728,50.907391,985293648.562921,315627.907057793
87,E07000047,West Devon, ,256376,86999,-4.03361,50.66489,1161107060.90436,254068.377875163
88,E07000061,Eastbourne, ,559339,99575,0.258516,50.773869,44161432.4837985,38032.2810407969
89,E07000062,Hastings, ,581528,110694,0.578395,50.867241,29796091.9965189,34102.1075516918
90,E07000063,Lewes, ,541474,105686,0.007671,50.833408,292106798.641784,168359.913078725
91,E07000064,Rother, ,578721,119666,0.542937,50.948711,511753820.136878,180531.96412764
92,E07000065,Wealden, ,555048,117180,0.205156,50.93322,834948417.645896,225878.103797439
93,E07000066,Basildon, ,571548,190848,0.475055,51.590359,110001023.654762,85631.2104981226
94,E07000067,Braintree, ,577253,227335,0.575911,51.91634,611707973.504295,168686.435910178
95,E07000068,Brentwood, ,558560,196070,0.290091,51.641079,153124048.304794,72339.499984653
96,E07000069,Castle Point, ,579490,187920,0.588084,51.561588,44673525.2910839,163452.231415385
97,E07000070,Chelmsford, ,572116,206972,0.491177,51.735031,342227520.457089,126395.550322867
98,E07000071,Colchester, ,596944,223693,0.859777,51.877022,332325214.702393,318168.31141223
99,E07000072,Epping Forest, ,548919,203758,0.154147,51.712791,338984123.904902,123273.197785461
100,E07000073,Harlow, ,545276,209589,0.103888,51.76614,30537916.2891686,28515.4568027106
101,E07000074,Maldon, ,591413,212072,0.773106,51.774578,357815660.310835,469757.895286049
102,E07000075,Rochford, ,585979,191417,0.683442,51.5909,167274180.772269,232955.632621183
103,E07000076,Tendring, ,614190,222141,1.108981,51.856739,336295380.413205,442501.365026272
104,E07000077,Uttlesford, ,557832,228865,0.294485,51.935921,641182922.735805,166507.865260074
105,E07000078,Cheltenham, ,394925,222232,-2.07515,51.898609,46596069.2175817,38231.0639602385
106,E07000079,Cotswold, ,402125,208209,-1.97059,51.772549,1164524415.18048,332445.324069312
107,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.812489,525899257.744366,190005.278190076
108,E07000081,Gloucester, ,384071,216449,-2.23263,51.846409,40553089.2745815,33539.6843710329
109,E07000082,Stroud, ,378807,202410,-2.30818,51.720009,460541975.212882,172782.192867576
110,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.934849,414414321.091513,204835.933707662
111,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.259369,633817172.002661,143437.384228921
112,E07000085,East Hampshire, ,474404,129237,-0.93971,51.057652,514432074.863372,144540.791479261
113,E07000086,Eastleigh, ,447202,116802,-1.32943,50.948719,79678662.3917769,75889.8885924987
114,E07000087,Fareham, ,453774,106319,-1.23742,50.853882,74260060.1001555,66504.8594452589
115,E07000088,Gosport, ,458769,101088,-1.16731,50.806358,25373863.8126405,40199.0473902881
116,E07000089,Hart, ,477985,154240,-0.88321,51.281971,215265080.340955,77847.8295539134
117,E07000090,Havant, ,470178,108564,-1.00398,50.872311,55739600.04884,115626.170205836
118,E07000091,New Forest, ,428748,106521,-1.59293,50.857479,752175262.2681,332044.023252496
119,E07000092,Rushmoor, ,486022,153944,-0.76807,51.278149,39045039.7610893,31893.0015033142
120,E07000093,Test Valley, ,434930,137329,-1.50214,51.134171,627595190.718412,190816.352551872
121,E07000094,Winchester, ,453115,125901,-1.24393,51.030022,660970090.904627,172158.21221359
122,E07000095,Broxbourne, ,534742,204251,-0.05073,51.720798,51442303.5951214,39068.7457937809
123,E07000096,Dacorum, ,500084,208745,-0.55098,51.768452,212476397.682696,110103.830872486
124,E07000098,Hertsmere, ,519774,199352,-0.26899,51.680168,101128162.742547,61228.1638486148
125,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.957378,375382315.818067,168316.826377481
126,E07000102,Three Rivers, ,507313,196418,-0.45005,51.656319,88824172.1167545,74112.6323982632
127,E07000103,Watford, ,510441,198197,-0.40429,51.6717,21430351.404046,26392.3637917606
128,E07000105,Ashford, ,597640,140644,0.823374,51.130959,580617312.655574,149446.491111594
129,E07000106,Canterbury, ,616032,158096,1.096342,51.281021,308752567.217782,134481.878863405
130,E07000107,Dartford, ,556167,172917,0.245276,51.433731,72725577.0930408,57309.406127191
131,E07000108,Dover, ,628964,150942,1.276887,51.211761,315337967.025532,148160.889608634
132,E07000109,Gravesham, ,566969,169114,0.398744,51.396488,98991345.0269165,60516.7991560959
133,E07000110,Maidstone, ,580489,151670,0.584061,51.235661,393329520.923426,122980.730512023
134,E07000111,Sevenoaks, ,552776,155218,0.188936,51.275631,370346872.085099,134435.51492254
135,E07000112,Folkestone and Hythe, ,610318,134595,1.000795,51.072128,356921037.577987,148969.584540584
136,E07000113,Swale, ,593583,161818,0.776893,51.32251,373436671.264401,347838.123543347
137,E07000114,Thanet, ,631839,166752,1.328226,51.35252,103609165.852632,65350.7692378689
138,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.260639,240114268.776842,133211.401830685
139,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.102539,331328854.676823,150590.455017137
140,E07000117,Burnley, ,384886,430882,-2.2308,53.774059,110684000.240326,57764.5705752205
141,E07000118,Chorley, ,359189,419724,-2.61921,53.672401,202762137.791734,114515.919059752
142,E07000119,Fylde, ,339554,433811,-2.91914,53.797089,165696809.268369,138118.575679015
143,E07000120,Hyndburn, ,374407,428971,-2.38964,53.756481,72997474.3941516,42655.4911054276
144,E07000121,Lancaster, ,356896,464988,-2.6603,54.07901,566935933.498083,345349.753588709
145,E07000122,Pendle, ,387637,443368,-2.18957,53.88636,169380092.197239,79243.8077162715
146,E07000123,Preston, ,352825,436432,-2.71809,53.822021,142284180.475832,82804.9719060596
147,E07000124,Ribble Valley, ,372687,447676,-2.4174,53.9245,584471489.092845,150499.986105057
148,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,138040909.285535,71149.8048128627
